timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
20164982,20164697,0.9999981,0.001750685,0.0008027771,-0.00037143516,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20213016,20212709,0.9999978,0.0015912825,0.0011636976,-0.0007806517,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20261781,20261476,0.99999815,-0.00021741912,0.0018410318,-0.00063476164,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20309756,20309456,0.9999969,2.9741524e-05,0.002172119,-0.0012107001,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20365897,20365599,0.99999833,-0.00048870395,0.0014197581,-0.0010609612,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20413360,20413073,0.9999963,-0.001074364,0.0020996816,-0.0014113222,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20461361,20461075,0.99999654,-0.00043032147,0.0023054155,-0.0012140353,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20513322,20512904,0.99999297,-0.00082221604,0.0031939405,-0.0017986902,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20564954,20564663,0.99999064,-0.00070645125,0.0036145921,-0.0022985286,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20612969,20612681,0.9999917,-0.00034055195,0.0035499053,-0.001970077,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20665739,20665447,0.99999,-0.0006888858,0.00371549,-0.0024057978,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20713554,20713270,0.99998987,-0.0012465635,0.0027350879,-0.0033609448,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20761513,20761221,0.99998343,-0.0019104995,0.0026851634,-0.0047287256,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20813382,20813096,0.9999856,-0.0014625386,0.0015623689,-0.004936344,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20865103,20864817,0.9999876,-0.0016479118,0.0012343943,-0.004540564,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
