timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
16421387,16420657,0,nan,nan,0.10892055,0.09747005,0.91973096,0.0,0.0,0.0,0.2017466,0.13641162,-0.22808829,-0.24867234,0.0016646442,-0.0008497321,0.0,0.13543783,0.27916297,-0.11621744,-0.0058764173,-0.10414876,nan,0.22560471,0.4294308,0.7397135,0.55075955,0.34719428,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16513370,16512654,0,nan,nan,0.113346174,0.09396328,0.9418344,0.0,0.0,0.0,0.21044755,0.12478258,-0.21259776,-0.19092755,0.0016646442,-0.0008497321,0.0,0.0814511,-0.06496508,0.15762563,-0.006490949,-0.10414876,nan,0.26758248,0.47171882,0.73350286,0.57906413,0.34279644,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16621971,16621357,0,nan,nan,0.11612034,0.087236896,0.9496301,0.0,0.0,0.0,0.20605037,0.112965256,-0.20128685,-0.15695632,0.0016646442,-0.0008497321,0.0,-0.1441284,-0.06071887,0.18463156,-0.0085077565,-0.10414876,nan,0.16119844,0.43215278,0.7358115,0.53142774,0.34043908,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16713550,16712828,0,nan,nan,0.11862758,0.0824002,0.9554395,0.0,0.0,0.0,0.20116767,0.11046218,-0.19940175,-0.13779569,0.0016646442,-0.0008497321,0.0,-0.16432293,0.23160401,0.087190144,-0.0097918175,-0.10414876,nan,0.20137721,0.4734067,0.72950107,0.55370975,0.33605286,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16817772,16817166,0,nan,nan,0.121417895,0.077699505,0.9505363,0.0,0.0,0.0,0.19102187,0.09893303,-0.20417899,-0.13600223,0.0016646442,-0.0008497321,0.0,0.2129071,0.29256445,-0.2449259,-0.0114244055,-0.10414876,nan,0.1478532,0.42469633,0.72583276,0.49954182,0.3322699,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16921508,16920787,0,nan,nan,0.121044286,0.07207119,0.94957066,0.0,0.0,0.0,0.18048666,0.094724834,-0.19461247,-0.11628223,0.0016646442,-0.0008497321,0.0,-0.041464694,-0.046679005,-0.004439255,-0.0090192,-0.10414876,nan,0.22100341,0.46832004,0.72254586,0.52497286,0.32869938,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17017195,17016592,0,nan,nan,0.118632525,0.06618941,0.97058916,0.0,0.0,0.0,0.16505538,0.08705224,-0.182639,-0.07628047,0.0016646442,-0.0008497321,0.0,-0.24358894,0.06594537,-0.24727778,-0.0075778617,-0.10414876,nan,0.27131426,0.42057782,0.7192569,0.47244793,0.32515192,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17117877,17117267,0,nan,nan,0.11418105,0.059933364,1.0320575,0.0,0.0,0.0,0.14718711,0.077069014,-0.15300292,0.016823635,0.0016646442,-0.0008497321,0.0,-0.056681473,0.056834843,0.19521144,-0.004415757,-0.10414876,nan,0.30821466,0.4620449,0.7159758,0.4937787,0.3216448,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17221357,17220695,0,nan,nan,0.11137595,0.055731602,1.0822476,0.0,0.0,0.0,0.14192984,0.070440166,-0.12668338,0.08590308,0.0016646442,-0.0008497321,0.0,0.06903848,0.25421435,0.0694299,-0.0036296207,-0.10414876,nan,0.24690497,0.41424084,0.71258926,0.44311133,0.31811327,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
17317792,17317173,0,nan,nan,0.106332816,0.050969303,1.1081556,0.0,0.0,0.0,0.13277763,0.06755877,-0.124363646,0.10185859,0.0016646442,-0.0008497321,0.0,-0.15153474,0.04583528,0.04263232,-0.001964448,-0.10414876,nan,0.17897701,0.44919816,0.72166246,0.46055287,0.31881553,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
